"date","name","id","metricName","metricQuantity","clusterId"
"2024-10-08","IBM Security Secret Server Enterprise Edition (500 users)","fe744780f18e4fe9b7f35d95d98b7b3c","INSTALL","2","co9020128165.pl.eurolabs.ibm.com"
"2024-10-09","IBM Security Secret Server Enterprise Edition (500 users)","fe744780f18e4fe9b7f35d95d98b7b3c","INSTALL","2","co9020128165.pl.eurolabs.ibm.com"
"2024-10-10","IBM Security Secret Server Enterprise Edition (500 users)","fe744780f18e4fe9b7f35d95d98b7b3c","INSTALL","2","co9020128165.pl.eurolabs.ibm.com"
"2024-10-11","IBM Security Secret Server Enterprise Edition (500 users)","fe744780f18e4fe9b7f35d95d98b7b3c","INSTALL","2","co9020128165.pl.eurolabs.ibm.com"
"2024-10-12","IBM Security Secret Server Enterprise Edition (500 users)","fe744780f18e4fe9b7f35d95d98b7b3c","INSTALL","2","co9020128165.pl.eurolabs.ibm.com"
"2024-10-13","IBM Security Secret Server Enterprise Edition (500 users)","fe744780f18e4fe9b7f35d95d98b7b3c","INSTALL","2","co9020128165.pl.eurolabs.ibm.com"
"2024-10-14","IBM Security Secret Server Enterprise Edition (500 users)","fe744780f18e4fe9b7f35d95d98b7b3c","INSTALL","2","co9020128165.pl.eurolabs.ibm.com"
"2024-10-15","IBM Security Secret Server Enterprise Edition (500 users)","fe744780f18e4fe9b7f35d95d98b7b3c","INSTALL","2","co9020128165.pl.eurolabs.ibm.com"
"2024-10-16","IBM Security Secret Server Enterprise Edition (500 users)","fe744780f18e4fe9b7f35d95d98b7b3c","INSTALL","2","co9020128165.pl.eurolabs.ibm.com"
"2024-10-02","IBM Security AppScan Enterprise Dynamic Analysis Scanner","ea6056a6250c4980a21bfdcada615b0d","PROCESSOR_VALUE_UNIT","70","co9020128165.pl.eurolabs.ibm.com"
"2024-10-03","IBM Security AppScan Enterprise Dynamic Analysis Scanner","ea6056a6250c4980a21bfdcada615b0d","PROCESSOR_VALUE_UNIT","70","co9020128165.pl.eurolabs.ibm.com"
"2024-10-04","IBM Security AppScan Enterprise Dynamic Analysis Scanner","ea6056a6250c4980a21bfdcada615b0d","PROCESSOR_VALUE_UNIT","70","co9020128165.pl.eurolabs.ibm.com"
"2024-10-05","IBM Security AppScan Enterprise Dynamic Analysis Scanner","ea6056a6250c4980a21bfdcada615b0d","PROCESSOR_VALUE_UNIT","70","co9020128165.pl.eurolabs.ibm.com"
"2024-10-06","IBM Security AppScan Enterprise Dynamic Analysis Scanner","ea6056a6250c4980a21bfdcada615b0d","PROCESSOR_VALUE_UNIT","70","co9020128165.pl.eurolabs.ibm.com"
"2024-10-07","IBM Security AppScan Enterprise Dynamic Analysis Scanner","ea6056a6250c4980a21bfdcada615b0d","PROCESSOR_VALUE_UNIT","70","co9020128165.pl.eurolabs.ibm.com"
"2024-10-08","IBM Security AppScan Enterprise Dynamic Analysis Scanner","ea6056a6250c4980a21bfdcada615b0d","PROCESSOR_VALUE_UNIT","70","co9020128165.pl.eurolabs.ibm.com"
"2024-10-09","IBM Security AppScan Enterprise Dynamic Analysis Scanner","ea6056a6250c4980a21bfdcada615b0d","PROCESSOR_VALUE_UNIT","70","co9020128165.pl.eurolabs.ibm.com"
